date,status,speaker,title,url,last_checked,language,type,description
2020-05-27,Success,Frank Prater,05-27-2020 Hearing The Voice Of God Correctly - Bro Frank Prater,https://www.youtube.com/watch?v=ULIp5LeEgBA,2025-12-30,Unknown,Full Sermon,
2020-05-31,Success,Unknown Speaker,05-31-2020 Continuation Of The Book Of Acts part 3,https://www.youtube.com/watch?v=xBJZIanMgqY,2025-12-28,Unknown,Full Sermon,
2020-05-31,Success,Unknown Speaker,05-31-2020 Sunday School Church remodel progress report / Look Away to Jesus 1963,https://www.youtube.com/watch?v=JoB85R2Hxn8,2025-12-30,Unknown,Full Sermon,
2020-06-03,Success,Bloteh Won,06-03-2020 Continuation Of The Book Of Acts part 4 - Bro Bloteh Won,https://www.youtube.com/watch?v=lpNRWt4Isdc,2025-12-30,Unknown,Full Sermon,
2020-06-07,Success,Bloteh Won,06-07-2020 Continuation Of The Book Of Acts part 5 - Bro Bloteh Won,https://www.youtube.com/watch?v=xnH_DoWrTWQ,2025-12-30,Unknown,Full Sermon,
2020-06-07,Success,Unknown Speaker,06-07-2020 Sunday School: What Is The Holy Ghost? 1959,https://www.youtube.com/watch?v=vYCCFYVrnAg,2025-12-30,Unknown,Full Sermon,
2020-06-10,Success,Bloteh Won,06-10-2020 Continuation Of The Book Of Acts part 6 - Bro Bloteh Won,https://www.youtube.com/watch?v=ktbmtfR8uP4,2025-12-30,Unknown,Full Sermon,
2020-06-14,Success,Unknown Speaker,06-14-2020 Give Me A Man,https://www.youtube.com/watch?v=gB8nSOAY-s8,2025-12-28,Unknown,Full Sermon,
2020-06-14,Success,Unknown Speaker,06-14-2020 Sunday School | What is the Holy Ghost 1959,https://www.youtube.com/watch?v=4b7ugvrZyjc,2025-12-30,Unknown,Full Sermon,
2020-06-17,Success,Bloteh Won,06-17-2020 Continuation Of The Book Of Acts part 7 - Bro Bloteh Won,https://www.youtube.com/watch?v=h3Aw5TBA3vM,2025-12-30,Unknown,Full Sermon,
2020-06-21,Success,The Inspiration Of The Almighty Gives Wisdom,06-21-2020 Bro. Bloteh Won  - The Inspiration Of The Almighty Gives Wisdom,https://www.youtube.com/watch?v=qBvdKndmaZQ,2025-12-30,Unknown,Full Sermon,
2020-06-21,Success,Unknown Speaker,06-21-2020 Sunday School | What is the Holy Ghost 1959,https://www.youtube.com/watch?v=LjVp3rMf2cU,2025-12-30,Unknown,Full Sermon,
2020-06-24,Success,Bloteh Won,06-24-2020 A Certain Woman - Bro Bloteh Won,https://www.youtube.com/watch?v=7W0lD60EvpU,2025-12-30,Unknown,Full Sermon,
2020-06-28,Success,Doing God A,06-28-2020 Bro. Bloteh Won  - Doing God A Service,https://www.youtube.com/watch?v=n5eMw_-sKtM,2025-12-30,Unknown,Full Sermon,
